target,subject,issuer,status,days_to_expire,not_valid_before,not_valid_after,serial_number,fingerprint_sha256,hostname_match
iap.aulss2.veneto.it,"CN=iap.aulss2.veneto.it,O=Azienda ULSS n. 2 Marca Trevigiana,L=Treviso,C=IT","CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,98,2026-03-18 00:00:00+00:00,2026-10-02 23:59:59+00:00,14312337659152189505823211802060399235,83:61:DF:85:73:82:24:1F:E4:B3:AC:70:0D:B5:9F:9D:F8:25:42:C1:04:51:D8:DB:AF:2E:A8:3E:91:F6:06:4F,True
trustapp.aulss2.veneto.it,"CN=iap.aulss2.veneto.it,O=Azienda ULSS n. 2 Marca Trevigiana,L=Treviso,C=IT","CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,98,2026-03-18 00:00:00+00:00,2026-10-02 23:59:59+00:00,14312337659152189505823211802060399235,83:61:DF:85:73:82:24:1F:E4:B3:AC:70:0D:B5:9F:9D:F8:25:42:C1:04:51:D8:DB:AF:2E:A8:3E:91:F6:06:4F,True
iap.ulss12.ve.it,CN=*.ulss12.ve.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,4054048318912667409025821634639056345,F0:E4:69:E8:52:72:34:EF:E1:F2:39:65:5B:84:AE:35:93:5F:29:33:74:F5:A1:77:6C:BD:0E:6B:CC:76:9E:3D,True
trustapp.ulss12.ve.it,CN=*.ulss12.ve.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,4054048318912667409025821634639056345,F0:E4:69:E8:52:72:34:EF:E1:F2:39:65:5B:84:AE:35:93:5F:29:33:74:F5:A1:77:6C:BD:0E:6B:CC:76:9E:3D,True
webauth.ulss12.ve.it,CN=*.ulss12.ve.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,4054048318912667409025821634639056345,F0:E4:69:E8:52:72:34:EF:E1:F2:39:65:5B:84:AE:35:93:5F:29:33:74:F5:A1:77:6C:BD:0E:6B:CC:76:9E:3D,True
iap.ulss13mirano.ven.it,CN=*.ulss13mirano.ven.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,97,2026-03-17 00:00:00+00:00,2026-10-01 23:59:59+00:00,9405991349936590641708031774942667226,48:9E:E4:1B:F4:96:8C:74:98:69:0B:CD:CB:98:6F:A2:D5:A1:DE:42:DD:25:21:00:AB:90:28:19:83:9E:52:6D,True
trustapp.ulss13mirano.ven.it,CN=*.ulss13mirano.ven.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,97,2026-03-17 00:00:00+00:00,2026-10-01 23:59:59+00:00,9405991349936590641708031774942667226,48:9E:E4:1B:F4:96:8C:74:98:69:0B:CD:CB:98:6F:A2:D5:A1:DE:42:DD:25:21:00:AB:90:28:19:83:9E:52:6D,True
webauth.ulss13mirano.ven.it,CN=*.ulss13mirano.ven.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,97,2026-03-17 00:00:00+00:00,2026-10-01 23:59:59+00:00,9405991349936590641708031774942667226,48:9E:E4:1B:F4:96:8C:74:98:69:0B:CD:CB:98:6F:A2:D5:A1:DE:42:DD:25:21:00:AB:90:28:19:83:9E:52:6D,True
iap.asl14chioggia.veneto.it,CN=*.asl14chioggia.veneto.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,2933595797237463411932486195450237904,42:29:26:DE:36:8E:B2:BB:B7:1D:7A:FF:45:5B:33:19:78:26:B4:96:AA:DB:EA:D3:80:C4:F2:11:6C:FC:26:17,True
trustapp.asl14chioggia.veneto.it,CN=*.asl14chioggia.veneto.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,2933595797237463411932486195450237904,42:29:26:DE:36:8E:B2:BB:B7:1D:7A:FF:45:5B:33:19:78:26:B4:96:AA:DB:EA:D3:80:C4:F2:11:6C:FC:26:17,True
webauth.asl14chioggia.veneto.it,CN=*.asl14chioggia.veneto.it,"CN=RapidSSL TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,96,2026-03-16 00:00:00+00:00,2026-09-30 23:59:59+00:00,2933595797237463411932486195450237904,42:29:26:DE:36:8E:B2:BB:B7:1D:7A:FF:45:5B:33:19:78:26:B4:96:AA:DB:EA:D3:80:C4:F2:11:6C:FC:26:17,True
iap.aulss5.veneto.it,"CN=iap.aulss5.veneto.it,O=AZIENDA ULSS n.5 Polesana,L=Rovigo,ST=Rovigo,C=IT","CN=Actalis Organization Validated Server CA G3,O=Actalis S.p.A.,L=Ponte San Pietro,ST=Bergamo,C=IT",VALID,83,2026-03-17 13:44:17+00:00,2026-09-17 12:43:17+00:00,41464291483903382015097735927163978889,69:2B:33:30:31:12:64:96:40:41:53:51:4C:CD:60:4E:6E:9C:20:9F:4B:58:5D:2A:20:FC:A9:B5:65:2B:00:49,True
trustapp.aulss5.veneto.it,"CN=trustapp.aulss5.veneto.it,O=AZIENDA ULSS n.5 Polesana,L=Rovigo,ST=Rovigo,C=IT","CN=Actalis Organization Validated Server CA G3,O=Actalis S.p.A.,L=Ponte San Pietro,ST=Bergamo,C=IT",VALID,83,2026-03-17 13:47:21+00:00,2026-09-17 12:46:21+00:00,82057505260419564502741688626561030820,10:AA:6C:30:48:29:35:42:25:2C:2A:BE:59:1B:40:3E:4C:5C:4D:85:C2:C8:14:28:80:E0:F6:04:B8:05:E1:E1,True
iap.aulss6.veneto.it,"CN=iap.aulss6.veneto.it,O=Azienda ULSS n.6 Euganea,L=Padova,ST=Veneto,C=IT","CN=GeoTrust TLS RSA CA G1,OU=www.digicert.com,O=DigiCert Inc,C=US",VALID,45,2025-08-11 00:00:00+00:00,2026-08-10 23:59:59+00:00,16607518834765734218527312505625121822,64:2D:5E:4F:99:B9:DE:03:C6:10:61:FD:62:47:EB:14:38:0C:DC:BF:CB:05:B0:C2:C8:C4:5F:B0:B5:D3:43:1C,True
